OD	"Sudan"	"Germany"	"Uganda"	"Iran"	"Philippines"	"South Africa"	"Paraguay"	"Colombia"	"Mauritius"	"Cambodia"	"Malawi"	"Brunei"	"Somalia"	"Sri Lanka"	"Argentina"	"Afghanistan"	"Eritrea"	"Iraq"	"United Kingdom"	"Nicaragua"	"Chile"	"Kazakhstan"	"Armenia"	"Angola"	"China"	"Comoros"	"Pakistan"	"Namibia"	"Norway"	"Peru"	"Cuba"	"Costa Rica"	"Russia"	"Zimbabwe"	"Guinea-Bissau"	"Uruguay"	"Syria"	"Mali"	"Liberia"	"Kenya"	"Senegal"	"Israel"	"Zambia"	"Sierra Leone"	"Vanuatu"	"Ethiopia"	"Greece"	"Albania"	"Tonga"	"Tanzania"	"Jordan"	"Tuvalu"	"Cameroon"	"South Korea"	"Various"	"Georgia"	"Central Afr. Rep."	"Yemen"	"Hungary"	"Guinea"	"Côte d'Ivoire"	"Honduras"	"Mauritania"	"Bangladesh"	"Burkina Faso"	"Bahrain"	"Nepal"	"Burundi"	"Ghana"	"Botswana"	"Austria"	"Nigeria"	"Indonesia"	"Romania"	"Stateless"	"Macedonia"	"Mongolia"	"Libya"	"Benin"	"Mexico"	"Kuwait"	"Palestine"	"Western Sahara"	"Congo, Dem.Rep."	"Moldova"	"Cape Verde"	"Chad"	"Poland"	"France"	"Algeria"	"Uzbekistan"	"Rwanda"	"Morocco"	"Saudi Arabia"	"India"	"North Korea"	"Mozambique"	"Togo"	"Panama"	"Bosnia & Herz."	"Djibouti"	"Bulgaria"	"Estonia"	"Thailand"	"Bolivia"	"Ukraine"	"Venezuela"	"Turkey"	"Congo"	"Spain"	"El Salvador"	"Fiji"	"Qatar"	"Trinidad & Tobago"	"Croatia"	"Samoa"	"Lebanon"	"Gambia"	"Kyrgyzstan"	"Brazil"	"Belarus"	"Czech Rep."	"Laos"	"Dominica"	"Sweden"	"Belize"	"United States"	"Equatorial Guinea"	"Turkmenistan"	"Belgium"	"Ecuador"	"Niger"	"Slovenia"	"Malaysia"	"Australia"	"Serbia"	"Tajikistan"	"Tibetans"	"Latvia"	"Madagascar"	"Myanmar"	"Dominican Rep."	"Bhutan"	"Solomon Islands"	"Tunisia"	"Egypt"	"Denmark"	"Haiti"	"Guyana"	"Swaziland"	"Viet Nam"	"Guatemala"	"Cyprus"	"Finland"	"Slovakia"	"Antigua & Barbuda"	"Martinique"	"Azerbaijan"	"New Zealand"	"Lithuania"	"Portugal"	"Netherlands"	"Emirates"	"Gabon"	"Italy"	"Montenegro"	"Saint Lucia"	"Japan"	"Maldives"	"Suriname"	"Hong Kong"	"St Vincent"	"Papua New Guinea"	"Grenada"	"Canada"	"Sao Tome"	"Luxembourg"	"Seychelles"	"Jamaica"	"Lesotho"	"Oman"	"Andorra"	"Timor-Leste"	"Switzerland"	"Singapore"	"St Kitts"	"Ireland"	"Iceland"	"Kiribati"	"Monaco"	"Malta"	"San Marino"	"Barbados"	"Gibraltar"	"Bahamas"	"Macao SAR"	"Nauru"	"Bermuda"	"Puerto Rico"	"French Guiana"	"Palau"	"Holy See"	"Cook Islands"	"French Polynesia"	"Turks"
"Sudan"	0	392	215675	0	1	172	0	1	0	1	0	0	2	0	2	0	752	138	3108	0	0	0	0	14	0	0	0	0	506	0	2	0	0	0	0	1	227	0	13	73004	0	270	0	5	0	66980	64	0	0	0	10	0	62	0	0	0	7900	78	139	0	1	0	9	0	6	0	0	0	600	27	135	181	0	19	0	0	0	10	5	2	1	0	0	6181	8	0	233025	24	799	0	0	7	12	37	12	0	3	0	0	0	2	172	0	5	0	64	0	13	0	19	0	0	0	0	1	0	66	0	0	27	0	0	0	0	241	0	28123	0	0	49	3	15	1	23	21241	0	0	0	1	0	0	0	0	0	0	12157	379	0	0	0	0	1	3	778	0	0	0	0	238	0	6	3810	18	7	1277	0	0	17	0	0	0	0	0	0	6258	0	0	0	0	0	0	0	0	165	0	0	298	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Germany"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	61	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Uganda"	0	173	0	0	0	70	0	0	0	0	0	0	7	0	0	0	0	0	1870	0	0	0	0	0	0	0	1	0	32	0	0	0	1	0	0	0	0	0	2	2810	0	0	0	0	0	38	0	0	0	0	0	0	5	1	0	0	13	1	8	0	1	0	1	0	0	0	0	0	0	45	16	2	0	0	0	0	0	0	0	0	0	0	0	13904	0	0	0	0	29	0	0	18	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	1430	0	0	7	0	0	0	1	391	0	0	0	0	0	0	0	0	0	0	12	37	0	0	43	0	0	0	6	0	0	0	0	8	0	0	90	21	0	7	0	0	0	0	0	1	0	0	0	445	0	0	0	0	0	0	0	0	33	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Iran"	0	13213	0	0	18	0	1	2	0	0	0	0	0	0	28	34	0	11773	9566	0	5	0	6	0	7	0	44	0	3446	34	0	0	2	0	0	0	131	0	0	0	0	1	0	0	0	0	326	0	0	0	0	0	0	7	0	0	0	0	160	0	22	4	0	27	0	0	4	0	0	0	1679	0	1	105	0	0	0	0	1	11	0	0	0	0	5	0	0	8	1617	0	0	0	1	0	44	0	0	0	3	0	0	214	0	20	3	35	0	2135	0	85	0	0	0	0	0	0	0	0	6	26	1	31	0	0	5205	0	33714	0	0	379	7	0	8	13	2346	0	8	0	0	0	0	0	0	0	6	1	1617	0	0	0	0	0	345	1806	10	0	0	71	605	6	1	4344	15	0	553	0	0	43	0	0	5	0	0	0	4978	0	0	0	0	0	0	0	0	1132	0	0	365	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Philippines"	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	401	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"South Africa"	0	270	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0	115	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	5	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paraguay"	0	52	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Colombia"	0	431	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	1399	12	725	0	0	0	0	0	0	0	220	152	10	9699	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	1248	0	0	0	0	0	45	0	660	0	0	976	3	0	0	0	0	0	0	0	0	415	0	0	0	0	1379	0	24770	0	0	54	11526	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	2	0	13	0	0	0	0	26	0	0	317	0	0	322	0	0	0	0	0	0	0	0	0	17378	0	0	0	0	0	0	0	0	255	0	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mauritius"	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cambodia"	0	83	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	828	0	0	25	0	0	0	5	15	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	2357	0	0	33	0	0	0	0	12	0	0	46	0	0	6	0	0	103	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
