Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
SDN,ARE,,,,,,,,,,,,,,,,,,,5,8,11,14,14,14,8,8,8,8,8,7,7,18,18,17,15
DEU,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
UGA,GBR,,,,,,,,,,,,,,905,1442,1734,1757,2866,3907,3893,3865,3838,3879,3620,,3150,3195,2335,1624,1818,1863,1870,1816,1760,1601
IRN,JPN,,,,,,,,,,50,,,,,,,,,,,,5,2,2,13,16,30,39,39,39,37,43,42,36,31
PHL,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,1,1
ZAF,LSO,190,900,930,990,500,10000,11500,11500,11500,11660,11500,11500,4000,4230,4248,212,208,103,35,35,,,,,,,,,,,,,,,
PRY,USA,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,4,,11,9,10,14,19,19,19,22
COL,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
MUS,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,9,9,9,9
KHM,NLD,,,,,,,,,,,,,,,,,,95,95,95,99,104,102,102,,31,40,40,41,41,41,46,14,14,19
MWI,MOZ,30000,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,,
BRN,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
COL,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,8,14,18
SOM,TUR,,,,,,,,,,,,,,,,,,,,,,,25,17,12,11,13,23,29,70,66,139,668,862,922
LKA,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,17403,15121,12850,15304,5832,6388,6594,12248
ARG,DNK,,,,,,,,,,,,,,,73,36,26,7,7,7,7,7,,,,,,,,,,,,,
AFG,TJK,,,,,,,,,,,,,,,,,,3000,300,695,928,1161,2164,3622,4531,15354,15336,3427,3304,1816,1006,917,1126,1790,2673
ERI,UGA,,,,,,,,,,,,,,,,,,,,,,,,2,16,27,3,3,10,12,4,6,139,796,3046
IRQ,LBR,,,,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,1,3,3,3,,3,3,3,3,3
GBR,CAN,,,,,,,,,,,,,,,,,,,,106,73,41,39,38,,32,27,27,22,21,29,32,59,61,57
NIC,CRI,,,,130000,15050,960,2000,3000,3910,8100,15200,22000,22600,31988,38560,33021,28128,27842,19964,19504,18747,17990,17842,17732,17532,2715,2636,2635,2632,619,619,619,619,619,620
UGA,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,7,7,2,2
CHL,PAN,,,,,,,,,,,,,,180,,,,,,115,58,2,2,2,2,,,,,,,,,,
KAZ,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
ARM,TKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4
AGO,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
CHN,PHL,,,,,,,,,,,100,130,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0
COM,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
GBR,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,47,52,42,18,23,16,3
PAK,POL,,,,,,,,,,,,,,,,,,,,,,,3,4,6,6,7,8,8,16,21,18,20,19,19
NAM,CUB,,,,,,,,,,,,,,,350,,,,68,21,12,3,2,1,,,,,,,,,,,
NOR,DNK,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,0
PER,CAN,,,,,,,,,,,,,,,,,,,,1273,1269,1266,1084,846,,778,993,951,962,1049,1335,1589,2522,2421,2303
CUB,POL,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,3,5,4,3,3,4,6,6
SDN,ERI,,,,,,,,,,,,,,,,,,,,2,62,123,112,159,702,731,529,622,624,714,748,752,729,111,117
IRQ,AUT,,,,,,,,,,,,,,,,,,,,,,,,1820,1851,1902,1769,1151,1141,1429,1224,1179,1366,1972,2183
NIC,VEN,,,,,,,,,,,60,,60,,,150,140,140,140,134,94,54,49,36,36,36,4,4,4,4,4,4,4,4,4
CRI,NOR,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,
RUS,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5
ZWE,LBR,,,,,,,,,,,,,,,,,,,7,8,6,4,,,,,,,,,,,,,
