Code,Name,Lat,Lon,region1,region2
TUV,Tuvalu,-7.540024,178.283237,Oceania,Polynesia
THA,Thailand,15.502027,101.199542,Asia,South-Eastern Asia
MLT,Malta,35.891981,14.442436,Europe,Southern Europe
*ST,Stateless,NaN,NaN,Other,Various
WSM,Samoa,-13.780031,-172.115116,Oceania,Polynesia
KGZ,Kyrgyzstan,41.22812,73.842561,Asia,Central Asia
BRA,Brazil,-9.872666,-53.169127,Americas,South America
ZMB,Zambia,-13.047165,28.051606,Africa,Eastern Africa
AND,Andorra,42.549993,1.587428,Europe,Southern Europe
YEM,Yemen,15.563412,47.950477,Asia,Western Asia
MLI,Mali,16.515929,-4.506424,Africa,Western Africa
SGP,Singapore,1.351663,103.813638,Asia,South-Eastern Asia
IRN,Iran,32.673635,53.738655,Asia,Southern Asia
PRI,Puerto Rico,18.215092,-66.344216,Americas,Caribbean
OMN,Oman,21.073477,56.133518,Asia,Western Asia
TGO,Togo,8.747135,0.88087,Africa,Western Africa
MNG,Mongolia,47.224048,103.803616,Asia,Eastern Asia
MNE,Montenegro,42.751687,19.296053,Europe,Southern Europe
POL,Poland,52.096874,19.183304,Europe,Eastern Europe
LBN,Lebanon,33.878374,35.881368,Asia,Western Asia
HRV,Croatia,44.444795,16.343293,Europe,Southern Europe
GBR,United Kingdom,52.597352,-1.534873,Europe,Northern Europe
VCT,St Vincent,13.256242,-61.192859,Americas,Caribbean
AGO,Angola,-11.553455,17.442383,Africa,Middle Africa
SYR,Syria,35.104411,38.475003,Asia,Western Asia
TZA,Tanzania,-6.42256,35.381934,Africa,Eastern Africa
DZA,Algeria,28.648929,2.550384,Africa,Northern Africa
ESH,Western Sahara,24.558661,-13.13169,Africa,Northern Africa
KIR,Kiribati,1.843581,-142.355756,Oceania,Micronesia
BWA,Botswana,-22.285449,23.925844,Africa,Southern Africa
BGD,Bangladesh,23.784454,89.963937,Asia,Southern Asia
BTN,Bhutan,27.394079,90.504295,Asia,Southern Asia
BMU,Bermuda,32.31284,-64.744856,Americas,Northern America
GIB,Gibraltar,36.140863,-5.344939,Europe,Southern Europe
TTO,Trinidad & Tobago,10.563222,-61.241299,Americas,Caribbean
TLS,Timor-Leste,-8.839555,125.7115,Asia,South-Eastern Asia
BLR,Belarus,53.460297,27.984375,Europe,Eastern Europe
SUR,Suriname,4.167872,-55.867785,Americas,South America
AFG,Afghanistan,34.427919,67.297715,Asia,Southern Asia
IRQ,Iraq,33.156784,44.021816,Asia,Western Asia
TJK,Tajikistan,38.775212,70.833845,Asia,Central Asia
KEN,Kenya,0.638006,38.025679,Africa,Eastern Africa
SLB,Solomon Islands,-8.910545,159.537743,Oceania,Melanesia
CHN,China,35.703649,107.400296,Asia,Eastern Asia
MUS,Mauritius,-20.163688,58.765571,Africa,Eastern Africa
LSO,Lesotho,-29.595733,28.244114,Africa,Southern Africa
NLD,Netherlands,52.160556,5.208745,Europe,Western Europe
VUT,Vanuatu,-16.308522,167.89617,Oceania,Melanesia
*PA,Palestine,31.92157,35.20329,Asia,Western Asia
IND,India,22.606858,79.627816,Asia,Southern Asia
MDV,Maldives,3.353159,73.260862,Asia,Southern Asia
NPL,Nepal,28.195011,84.219606,Asia,Southern Asia
ZAF,South Africa,-28.695832,25.029527,Africa,Southern Africa
FJI,Fiji,-17.341633,158.940593,Oceania,Melanesia
KNA,St Kitts,17.313103,-62.736679,Americas,Caribbean
FSM,Micronesia,6.293391,160.009199,Oceania,Micronesia
UZB,Uzbekistan,41.447353,64.79929,Asia,Central Asia
