origin	CH	ZH	BE	LU	UR	SZ	OW	NW	GL	ZG	FR	SO	BS	BL	SH	AR	AI	SG	GR	AG	TG	TI	VD	VS	NE	GE	JU
CH	477853	84371	59942	22188	1492	8137	1599	2418	1875	7293	19457	15862	6065	16580	3803	3078	399	26243	10591	43251	16283	17358	51430	17765	9632	27213	3528
ZH	84245	61683	1639	1060	55	1724	89	121	306	1052	197	524	551	387	960	187	29	2555	971	5907	2634	537	555	207	66	223	26
BE	59724	2027	47686	799	21	158	74	65	53	137	1401	2214	325	298	46	36	4	369	317	1125	238	201	653	487	510	145	335
LU	21597	1320	851	14868	69	438	221	432	23	610	49	282	146	137	39	13	7	211	158	1295	108	73	65	89	42	42	9
UR	1689	82	43	146	1062	75	17	49	4	32	2	9	6	7	2	3	1	18	47	39	12	14	5	8	2	4	0
SZ	8037	1484	134	505	69	3847	45	48	172	380	16	65	32	36	27	21	6	575	92	275	86	40	34	36	3	8	1
OW	1705	97	94	330	15	31	769	158	1	37	1	10	4	10	6	0	5	21	27	56	13	4	6	8	2	0	0
NW	2490	118	62	514	45	39	145	1272	4	62	4	21	10	11	4	10	0	21	13	87	5	13	13	12	0	5	0
GL	1755	296	40	32	0	114	3	0	815	7	7	16	8	10	6	11	0	261	26	42	21	21	3	10	1	0	5
ZG	7530	1090	141	774	15	394	30	39	9	3979	10	45	40	27	9	8	4	93	73	570	36	37	66	17	4	20	0
FR	17300	282	1243	69	1	13	6	2	2	18	12793	90	38	35	11	3	0	44	21	87	17	40	1794	299	174	168	50
SO	15638	638	2072	322	6	33	15	24	10	40	68	9197	336	929	14	13	1	107	77	1481	62	50	45	45	10	12	31
BS	7647	732	395	125	5	49	9	16	7	53	22	410	1129	3499	16	4	3	86	73	700	46	68	87	34	20	31	28
BL	16570	555	430	190	11	88	18	19	6	59	33	1110	2318	9912	11	14	0	102	79	1269	76	49	86	57	10	16	52
SH	3728	908	72	29	0	12	4	6	7	9	12	14	32	23	2051	11	4	101	23	76	291	11	10	11	2	8	1
AR	3128	215	50	38	1	9	7	1	8	9	5	19	13	19	10	971	113	1277	44	53	244	11	5	3	1	2	0
AI	444	54	8	13	0	9	4	0	1	2	0	6	0	2	2	118	5	164	8	9	34	2	1	1	0	1	0
SG	26746	3106	490	272	8	462	17	26	259	106	46	121	105	94	73	1355	157	16519	597	370	2359	86	57	31	11	15	4
GR	11820	1357	425	287	28	127	13	17	72	54	35	83	61	78	45	42	8	864	7208	300	199	376	52	68	8	13	0
AG	40703	4205	1189	1341	28	268	59	64	53	401	84	1347	563	854	114	28	7	369	222	28829	259	144	114	97	21	33	10
TG	15437	2027	235	129	8	69	15	13	18	46	25	75	60	46	310	209	37	2216	125	261	9415	33	22	26	9	7	1
TI	17558	603	203	108	34	65	10	9	20	58	65	36	55	61	13	5	2	118	289	106	53	15247	193	73	27	99	6
VD	51750	683	682	68	4	53	8	12	3	65	3450	45	77	22	14	6	5	80	30	100	28	126	41887	2116	762	1294	130
VS	16998	348	547	119	2	25	18	19	5	26	373	62	47	32	11	4	1	36	51	135	27	48	1424	13192	140	270	36
NE	10331	75	745	12	0	5	0	0	0	9	361	13	19	5	1	4	0	15	5	28	2	37	1062	198	7416	162	157
GE	29610	349	166	25	3	29	3	5	0	38	312	21	57	22	6	1	0	17	9	36	6	73	3003	574	203	24586	66
JU	3610	32	298	12	1	1	0	1	5	4	84	24	33	24	1	0	0	4	2	13	11	15	171	65	188	42	2579
unbekannt	63	5	2	1	1	0	0	0	12	0	2	3	0	0	1	1	0	0	4	2	1	2	17	1	0	7	1
